gender,age_in_months,measure_type,l,m,s
M,0,lhfa,1.0,49.89,0.0778
M,0,wfa,1.0,3.52,0.3976
M,0,wflh,1.0,3.52,0.3976
M,1,lhfa,1.0,54.64,0.0716
M,1,wfa,1.0,4.79,0.3436
M,1,wflh,1.0,4.79,0.3436
M,2,lhfa,1.0,58.38,0.0689
M,2,wfa,1.0,5.87,0.2995
M,2,wflh,1.0,5.87,0.2995
M,3,lhfa,1.0,61.6,0.0675
M,3,wfa,1.0,6.74,0.2761
M,3,wflh,1.0,6.74,0.2761
M,4,lhfa,1.0,63.95,0.0666
M,4,wfa,1.0,7.35,0.271
M,4,wflh,1.0,7.35,0.271
M,5,lhfa,1.0,65.9,0.063
M,5,wfa,1.0,7.87,0.2626
M,5,wflh,1.0,7.87,0.2626
M,6,lhfa,1.0,67.57,0.064
M,6,wfa,1.0,8.24,0.2536
M,6,wflh,1.0,8.24,0.2536
M,7,lhfa,1.0,69.18,0.0624
M,7,wfa,1.0,8.69,0.2495
M,7,wflh,1.0,8.69,0.2495
M,8,lhfa,1.0,70.49,0.0621
M,8,wfa,1.0,8.97,0.243
M,8,wflh,1.0,8.97,0.243
M,9,lhfa,1.0,72.13,0.0623
M,9,wfa,1.0,9.33,0.24
M,9,wflh,1.0,9.33,0.24
M,10,lhfa,1.0,73.33,0.062
M,10,wfa,1.0,9.46,0.2334
M,10,wflh,1.0,9.46,0.2334
M,11,lhfa,1.0,74.33,0.0616
M,11,wfa,1.0,9.65,0.2369
M,11,wflh,1.0,9.65,0.2369
M,12,lhfa,1.0,75.91,0.062
M,12,wfa,1.0,9.97,0.2333
M,12,wflh,1.0,9.97,0.2333
M,13,lhfa,1.0,76.81,0.0626
M,13,wfa,1.0,10.24,0.2316
M,13,wflh,1.0,10.24,0.2316
M,14,lhfa,1.0,77.98,0.0628
M,14,wfa,1.0,10.32,0.2309
M,14,wflh,1.0,10.32,0.2309
M,15,lhfa,1.0,79.11,0.0633
M,15,wfa,1.0,10.63,0.2255
M,15,wflh,1.0,10.63,0.2255
M,16,lhfa,1.0,80.38,0.063
M,16,wfa,1.0,10.73,0.2271
M,16,wflh,1.0,10.73,0.2271
M,17,lhfa,1.0,81.21,0.0647
M,17,wfa,1.0,10.93,0.2243
M,17,wflh,1.0,10.93,0.2243
M,18,lhfa,1.0,82.29,0.0635
M,18,wfa,1.0,11.09,0.224
M,18,wflh,1.0,11.09,0.224
M,19,lhfa,1.0,83.21,0.0633
M,19,wfa,1.0,11.41,0.2161
M,19,wflh,1.0,11.41,0.2161
M,20,lhfa,1.0,84.17,0.0648
M,20,wfa,1.0,11.66,0.2132
M,20,wflh,1.0,11.66,0.2132
M,21,lhfa,1.0,85.1,0.066
M,21,wfa,1.0,11.62,0.2207
M,21,wflh,1.0,11.62,0.2207
M,22,lhfa,1.0,86.07,0.0667
M,22,wfa,1.0,11.78,0.2187
M,22,wflh,1.0,11.78,0.2187
M,23,lhfa,1.0,87.03,0.0668
M,23,wfa,1.0,12.0,0.2173
M,23,wflh,1.0,12.0,0.2173
M,24,lhfa,1.0,87.29,0.0669
M,24,wfa,1.0,12.11,0.2151
M,24,wflh,1.0,12.11,0.2151
M,25,lhfa,1.0,91.24,0.0799
M,25,wfa,1.0,12.38,0.115
M,25,wflh,1.0,12.38,0.115
M,26,lhfa,1.0,91.24,0.0799
M,26,wfa,1.0,12.38,0.115
M,26,wflh,1.0,12.38,0.115
M,27,lhfa,1.0,91.24,0.0799
M,27,wfa,1.0,12.38,0.115
M,27,wflh,1.0,12.38,0.115
M,28,lhfa,1.0,91.24,0.0799
M,28,wfa,1.0,12.38,0.115
M,28,wflh,1.0,12.38,0.115
M,29,lhfa,1.0,91.24,0.0799
M,29,wfa,1.0,12.38,0.115
M,29,wflh,1.0,12.38,0.115
M,30,lhfa,1.0,91.24,0.0799
M,30,wfa,1.0,12.38,0.115
M,30,wflh,1.0,12.38,0.115
M,31,lhfa,1.0,91.24,0.0799
M,31,wfa,1.0,12.38,0.115
M,31,wflh,1.0,12.38,0.115
M,32,lhfa,1.0,91.24,0.0799
M,32,wfa,1.0,12.38,0.115
M,32,wflh,1.0,12.38,0.115
M,33,lhfa,1.0,91.24,0.0799
M,33,wfa,1.0,12.38,0.115
M,33,wflh,1.0,12.38,0.115
M,34,lhfa,1.0,91.24,0.0799
M,34,wfa,1.0,12.38,0.115
M,34,wflh,1.0,12.38,0.115
M,35,lhfa,1.0,91.24,0.0799
M,35,wfa,1.0,12.38,0.115
M,35,wflh,1.0,12.38,0.115
M,36,lhfa,1.0,91.24,0.0799
M,36,wfa,1.0,12.38,0.115
M,36,wflh,1.0,12.38,0.115
M,37,lhfa,1.0,91.24,0.0799
M,37,wfa,1.0,12.38,0.115
M,37,wflh,1.0,12.38,0.115
M,38,lhfa,1.0,91.24,0.0799
M,38,wfa,1.0,12.38,0.115
M,38,wflh,1.0,12.38,0.115
M,39,lhfa,1.0,91.24,0.0799
M,39,wfa,1.0,12.38,0.115
M,39,wflh,1.0,12.38,0.115
M,40,lhfa,1.0,91.24,0.0799
M,40,wfa,1.0,12.38,0.115
M,40,wflh,1.0,12.38,0.115
M,41,lhfa,1.0,91.24,0.0799
M,41,wfa,1.0,12.38,0.115
M,41,wflh,1.0,12.38,0.115
M,42,lhfa,1.0,91.24,0.0799
M,42,wfa,1.0,12.38,0.115
M,42,wflh,1.0,12.38,0.115
M,43,lhfa,1.0,91.24,0.0799
M,43,wfa,1.0,12.38,0.115
M,43,wflh,1.0,12.38,0.115
M,44,lhfa,1.0,91.24,0.0799
M,44,wfa,1.0,12.38,0.115
M,44,wflh,1.0,12.38,0.115
M,45,lhfa,1.0,91.24,0.0799
M,45,wfa,1.0,12.38,0.115
M,45,wflh,1.0,12.38,0.115
M,46,lhfa,1.0,91.24,0.0799
M,46,wfa,1.0,12.38,0.115
M,46,wflh,1.0,12.38,0.115
M,47,lhfa,1.0,91.24,0.0799
M,47,wfa,1.0,12.38,0.115
M,47,wflh,1.0,12.38,0.115
M,48,lhfa,1.0,91.24,0.0799
M,48,wfa,1.0,12.38,0.115
M,48,wflh,1.0,12.38,0.115
M,49,lhfa,1.0,91.24,0.0799
M,49,wfa,1.0,12.38,0.115
M,49,wflh,1.0,12.38,0.115
M,50,lhfa,1.0,91.24,0.0799
M,50,wfa,1.0,12.38,0.115
M,50,wflh,1.0,12.38,0.115
M,51,lhfa,1.0,91.24,0.0799
M,51,wfa,1.0,12.38,0.115
M,51,wflh,1.0,12.38,0.115
M,52,lhfa,1.0,91.24,0.0799
M,52,wfa,1.0,12.38,0.115
M,52,wflh,1.0,12.38,0.115
M,53,lhfa,1.0,91.24,0.0799
M,53,wfa,1.0,12.38,0.115
M,53,wflh,1.0,12.38,0.115
M,54,lhfa,1.0,91.24,0.0799
M,54,wfa,1.0,12.38,0.115
M,54,wflh,1.0,12.38,0.115
M,55,lhfa,1.0,91.24,0.0799
M,55,wfa,1.0,12.38,0.115
M,55,wflh,1.0,12.38,0.115
M,56,lhfa,1.0,91.24,0.0799
M,56,wfa,1.0,12.38,0.115
M,56,wflh,1.0,12.38,0.115
M,57,lhfa,1.0,91.24,0.0799
M,57,wfa,1.0,12.38,0.115
M,57,wflh,1.0,12.38,0.115
M,58,lhfa,1.0,91.24,0.0799
M,58,wfa,1.0,12.38,0.115
M,58,wflh,1.0,12.38,0.115
M,59,lhfa,1.0,91.24,0.0799
M,59,wfa,1.0,12.38,0.115
M,59,wflh,1.0,12.38,0.115
M,60,lhfa,1.0,91.24,0.0799
M,60,wfa,1.0,12.38,0.115
M,60,wflh,1.0,12.38,0.115
F,0,lhfa,1.0,48.88,0.0767
F,0,wfa,1.0,3.38,0.4062
F,0,wflh,1.0,3.38,0.4062
F,1,lhfa,1.0,53.57,0.0733
F,1,wfa,1.0,4.42,0.356
